cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
3557,"San Gaetano dell'Ursuline","Viale di Trastevere 251",,,"20th century",,,,Cajetan,"Roman Catholic","St Cajetan of the Ursulines",,,,,,,
3026,"San Gallicano","Via di San Gallicano",,,1726,,,,"Blessed Virgin Mary, Gallicanus","Roman Catholic","St Gallicanus",,,,,,,
1990,"San Gaspare del Bufalo","Via Borgo Velino 1  00179 Roma","Luigi and Antonio Nervi",,1980,,"Missionaries of the Precious Blood",,"St Gaspare del Bufalo","Roman Catholic Church","St Gaspare del Bufalo",,,,"06 78 05 553",,,www.parrocchie.it/roma/sangaspare/
3220,"San Gaudenzio a Torre Nova","Via della Tenuta della Torrenova 114",,,1995,,,,"Gaudentius of Novara","Roman Catholic","St Gaudentius at the New Tower",,,,,,,
3031,"San Gelasio I Papa","Via Fermo Corni 1",,,1992,,,,"Gelasius I, Pope","Roman Catholic","Pope St Gelasius I",,,,,,,
3033,"San Gerardo Maiella","Via Romolo Balzani 74",,,1981,,,,"Gerard Majella","Roman Catholic","St Gerard Majella",,,,,,,
3223,"San Giacomo a Scossacavalli","Piazza Scossacavalli (now part of Via della Conciliazione)",,,"16th century",,,,"James the Great","Roman Catholic","St James of the Shaken Horses",,,,,,Demolished,
3038,"San Giacomo alla Lungara","Via della Lungara 12",,,1644,,,,"James the Great","Roman Catholic","St James on the Lungara",,Giacomo_alla_Lungara.jpg,,,,,
3224,"San Giacomo del Colosseo","Colosseum (by east end)",,,"14th century?",,,,"James the Great","Roman Catholic","St James at the Colosseum",,,,,,,
4396,"San Giacomo in Augusta","499 Via del Corso00187 Roma","Francesco da Volterra, Carlo Maderno","Giovanni Lanfranco, Domenichino, Allessandro Algardi, Mattia Preti et al.","16th century",,,,"St James the Great","Roman Catholic Church","St James in Augusta",,,,,,,
4756,"San Gioacchino in Prati","Piazza dei Quiriti 17",,,1898,,,,"Joachim, Father of Our Lady","Roman Catholic","St Joachim in the Meadows",,,,,,,
3228,"San Giorgio e dei Martiri Inglesi","Via San Sebastianello 16",,,1887,,,,"George, and English Martyrs of the Reformation","Roman Catholic","St George and the English Martyrs",,,,,,,
3225,"San Giorgio in Acilia","Largo San Giorgio 4",,,1963,,,,"George the Great","Roman Catholic","St George at Acilia",,,,,,,
1996,"San Giorgio in Velabro","19 Via del Velabro  00186 Roma",,,"7th century",,"Canons Regular of the Order of the Holy Cross",,"St George","Roman Catholic Church","St George at Velabrum",,,,"06 68 32 930","Cardinal Gianfranco Ravasi","Titular church",
3046,"San Giosafat al Gianicolo","Passeggiata del Gianicolo 7",,,1930,,,,Josaphat,"Roman Catholic","St Josaphat on the Janiculum",,,,,,,
3412,"San Giovanni Battista a Cesano","Piazza Francesco Caraffa 24",,,"14th century, 17th century",,,,"John the Baptist","Roman Catholic","St John the Baptist at Cesano",,,,,,,
4962,"San Giovanni Battista al Castello della Magliana","Via Luigi Ercole Morsell 11",,,1490,,,,"John the Baptist","Roman Catholic","St John the Baptist at Magliana Castle",,,,,,,
3232,"San Giovanni Battista all’Osteria del Curato","Via Tuscolana 1756",,,"19th century",,,,"John the Baptist","Roman Catholic","St John the Baptist at the Inn of the Parish Priest",,,,,,,
4964,"San Giovanni Battista de La Salle al Torrino","Via dell'Orsa Minore 59",,,2009,,,,"John-Baptist de La Salle","Roman Catholic","St John-Baptist de La Salle in Torrino",,,,,,,
4620,"San Giovanni Battista de La Salle alla Piazza di Spagna","Via San Sebastianello 1",,,"1889 (complex is 18th century)",,,,"John Baptist de la Salle","Roman Catholic","St John-Baptist de La Salle in Spain Square",,,,,,,
