cid,name,address,architect,artists,built,caption,clergy,consecrated,dedication,denomination,englishname,fax,image,national,phone,titular,type,url
3055,"San Giovanni della Malva in Trastevere","Piazza di San Giovanni della Malva",,,,,,,"Immaculate Conception, John the Baptist and John the Evangelist",Catholic,"St John of Malva in Trastevere",,Giovanni_della_Malva.jpg,,,,,
2002,"San Giovanni della Pigna","51 Vicolo della Minerva / Piazza della Pigna00186 Roma",N/A,N/A,,,,,"St Francis of Assisi","Roman Catholic Church","St John of the Pinecone",,,,,,,
3057,"San Giovanni in Ayno",,,,,,,,,,,,Giovanni_in_Ayno.jpg,,,,,
1602,"San Giovanni in Laterano","Piazza San Giovanni in Laterano 4 00184 Rome","Borromini, Alessandro Galilei, Virgilio Vespigniani","Pierre Legros, Andrea Bregno, Camillo Rusconi, Isaia da Pisa, et.al.","4th century, remodelled","Façade by Alessandro Galilei, 1736","Canons Regular of the Lateran",324,"Jesus Christ and SS John the Evangelist and John the Baptist","Roman Catholic","St John at the Lateran",,"Roma-san giovanni 03.jpg",No,,No,"Major basilica and cathedral",
1688,"San Giovanni in Oleo","Via di Porta Latina","Francesco Borromini",,1509,,,,"John the Evangelist","Roman Catholic Church","St John in Oil",,,,,,,
3247,"San Girolamo Emiliani","Via Bellico Calpurnio 90",,,1995,,,,"Jerome Emiliani","Roman Catholic","St Jerome Emiliani",,,,,,,
5038,"San Girolamo a Corviale","Via dei Buonvisi 3",,,1960,,,,Jerome,"Roman Catholic","St Jerome of Corviale",,,,,,,
1443,"San Girolamo dei Croati","132 Via Tomacelli",,,,,,,Jerome,"Roman Catholic","St Jerome of the Croats",,,Croatia,,"Josip Bozanic","College chapel",
2005,"San Girolamo della Carità","62/a Via de Monserrato   00186 Roma","Filippo Jovarra Francesco Borromini",,1654-1660,,,,"St Jerome","Roman Catholic Church","St Jerome of Charity",,,,"06 68 79 786","Jorge Maria Cardinal Mejia","Titular church",
3248,"San Giuda Taddeo ai Cessati Spiriti","Via Amadeo Crivellucci 3",,,1960,,,,"Jude the Apostle","Roman Catholic","St Jude Thaddeus at the Defunct Spirits",,,,,,,
4651,"San Giuda Taddeo delle Suore Carmelitane","Via Rovereto 25",,,1931,,,,"Jude the Apostle","Roman Catholic","St Jude Thaddeus in Rovereto Way",,,,,,,
3250,"San Giuliano a Via Cassia","Via Cassia 1036",,,1995,,,,Julian,"Roman Catholic","St Julian on the Cassian Way",,,,,,,
3251,"San Giuliano ai Monti","Via Carlo Alberto (south end)",,,"13th century",,,,"Julian the Hospitaller","Roman Catholic","St Julian at Monti",,,,,,Demolished,
1434,"San Giuliano dei Fiamminghi","40 Via del Sudario00186 Roma",,,,,,,"Julian the Hospitaller","Roman Catholic","St Julian of the Flemish",06.687.38.54,,,06.687.25.50,,"National church",http://www.sangiuliano.org/
4519,"San Giuliano in Banchi","Via dei Banchi Nuovi",,,"16th century",,,,"Julian the Hospitaller","Roman Catholic","St Julian at the Banks",,,,,,,
3252,"San Giulio","Via Francesco Maidalchini 17",,,"1960's",,,,Julius,"Roman Catholic","St Julius",,,,,,,
4971,"San Giuseppe Artigiano a Colle dei Pini","Via Fosso di Radicelli",,,,,,,"Joseph (Joseph the Worker)","Roman Catholic","St Joseph the Worker at Pine Hills",,,,,,,
3253,"San Giuseppe Artigiano a Via Tiburtina","Largo San Giuseppe Artignano 15",,,1957,,,,Joseph,"Roman Catholic","St Joseph the Worker on the Tiburtine Way",,,,,,,
3254,"San Giuseppe Cafasso","Via Camillo Manfroni 2",,,1968,,,,"Joseph Cafasso","Roman Catholic","St Joseph Cafasso",,,,,,,
3072,"San Giuseppe Calasanzio","Via Sicilia 53",,,1892,,,,"Joseph Calasanz",Catholic,"St Joseph Calasanz",,,,,,,
5009,"San Giuseppe Cottolengo","Viale de Valle Aurelia 62",,,1979,,,,"Joseph Cotolengo","Roman Catholic","St Joseph Cottolengo",,,,,,,
3826,"San Giuseppe Lavatore della Stazione Tiburtina","Stazione Tiburtina",,,2014,,,,"Joseph (Joseph the Worker)","Roman Catholic","St Joseph the Worker at the Tiburtine Station",,,,,,,
3258,"San Giuseppe Moscati","Via Libero Leonardi 41",,,1991,,,,"Joseph Moscati","Roman Catholic","St Joseph Moscati",,,,,,,
4781,"San Giuseppe a Bastogi","Via Arnaldo Canepa 20",,,"20th century",,,,"St Joseph","Roman Catholic","St Joseph at Bastogi",,,,,,,
3068,"San Giuseppe a Capo le Case","Via Francesco Crispi",,,1628,,,,,Catholic,"St Joseph at the end of the Houses",,,,"06 -483423",,,
4956,"San Giuseppe a Tor de’ Cenci","Via Santi Savarino 50",,,"20th century",,,,Joseph,"Roman Catholic","St Joseph at Cenci Tower",,,,,,,
3069,"San Giuseppe a Via Nomentana","Via Francesco Redi 1",,,1905,,,,Joseph,"Roman Catholic","St Joseph in Nomentana Way",,,,"06 -4402356",,,
3070,"San Giuseppe ai Prati","Via Pietro Cavallini 38",,,1888,,,,"Joseph Calasanz",Catholic,"St Joseph in the Meadows",,,,06-3222898,,,
3569,"San Giuseppe al Casale Cesarina","Via della Cesarina 212",,,"17th century",,,,Joseph,"Roman Catholic","St Joseph at Cesarina Farm",,,,,,,
4402,"San Giuseppe al Trionfale","Via Bernardino Telesio 4/B - 00195 ROMA",,,1912,,,,Joseph,"Roman Catholic","St Joseph at the Triumph",,,,06-39.73.08.89,,,
3071,"San Giuseppe all'Aurelio","Via Boccea 362 - 00167 ROMA",,,1970,,,,"Joseph Marello (not Joseph the Patriarch)","Roman Catholic","St Joseph at Aurelio",,,,06-66.28.000,,,
2007,"San Giuseppe alla Lungara","Via della Lungara 4500165 Roma","Ludovico Rusconi Sassi, Antonio Cipolla","Mariano Rossi, Antonio Cipolla, Girolamo Pesci",,,,1734,"St Joseph","Roman Catholic Church","St Joseph at Lungara",,,,"06 68 80 31 69",,,
3256,"San Giuseppe da Copertino","Via dei Genieri 12",,,1956,,,,"Joseph of Cupertino","Roman Catholic","St Joseph of Cupertino",,,,,,,
2006,"San Giuseppe dei Falegnami","1 Clivo Argentario  00186 Roma","Jacopo della Porta","Jean Bonassieu","17th century (ancient fabric below)",,,,"St Joseph (Joseph the Worker)","Roman Catholic Church","St Joseph's of the Carpenters","06 67 93 533",,,"06 67 92 902",,,
4625,"San Giuseppe del Monastero di Clausura","Via della Nocetta 83",,,1957,,,,"St Joseph the Patriarch","Roman Catholic","St Joseph of the Enclosed Monastery",,,,,,,
3571,"San Giuseppe dell’Opera Don Guanella","Via Aurelia Antica 438",,,"20th century",,,,Joseph,"Roman Catholic","St Joseph of the Works of Don Guanella",,,,,,,
3073,"San Giuseppe di Cluny","Via Angelo Polizano 38",,,1890,,,,Joseph,Catholic,"Joseph of Cluny",,,,,,,
3259,"San Giustino","Viale Alessandrino 144",,,1953,,,,,"Roman Catholic","St Justin",,,,,,,
4774,"San Gregorio Barbarigo","Via delle Montagne Rocciose 14 - 00144 ROMA",,,1964,,,,"Gregory Barbarigo","Roman Catholic","St Gregory Barbarigo",,,,06-59.12.504,,,
2008,"San Gregorio Magno al Celio","Piazza di San Gregorio 1  00184 Roma","Giovanni Battista Soria, Francesco Ferrari","Domenichino, Guido Reni","6th cent.",,,,"SS Gregory the Great, Andrew the Apostle","Roman Catholic Church","St Gregory the Great on the Coelian",,,,"06 70 49 49 66","Cardinal Francesco Montenegro","Titular church",https://www.sgregorioalcelio.com/
3260,"San Gregorio Magno alla Magliana Nuova","Piazza Certaldo 85",,,"Late 20th century",,,,"Gregory the Great","Roman Catholic","St Gregory the Great at the New Magnolia",,,,,,,
2009,"San Gregorio Nazianzeno","45 Piazza Campo Marzio   00186 Roma",,,"8th century",,,,"St Gregory Nazianzen","Roman Catholic Church","St Gregory Nazianzen",,,,,,,
2010,"San Gregorio Settimo","4 Via del Cottolengo (Via Gregorio VII)   00165 Roma","Mario Paniconi, Giulio Pediconi",,,,"Franciscan Friars Minor",,"Pope St Gregory VII","Roman Catholic Church","St Gregory VII",,,,"06 63 17 09",,"Titular church","http://web.tiscali.it/sangregoriovii/pr_b_e.htm Official Site"
4453,"San Gregorio Taumaturgo","Via di Teatro del Marcello (north end)",,,,,,,"Gregory the Wonderworker","Roman Catholic","St Gregory the Wonderworker",,,,,,Demolished,
4671,"San Gregorio a Ponte Quattro Capi","Via del Portica de'Ottavia/  Piazza di Monte Savello 9   00186 Rome","Filippo Barigioni","<nowiki>Stefano Parrocel","12th century, rebuilt 1727",,,,"Gregory the Great","Roman Catholic Church","St Gregory at the Bridge of the Four Heads",,Maria_della_Divina_Pieta_ai_Quattro_Capi.jpg,,"06 68 65 223",,,
3065,"San Gregorio dei Muratori","Via Leccosa 75",,,1934,,,,"Pope Gregory the Great",Catholic,"St Gregory of the Wallers",,Gregorio_dei_Muratori.jpg,,,,,
3270,"San Josemaria Escrivà","Largo Josemaria Escrivà 7",,,1996,,,,"Joseph-Mary Escrivà","Roman Catholic","St Joseph-Mary Escrivà",,,,,,,
3274,"San Lauro alla Pisana","Via della Pisana 355",,,"Mid 20th century",,,,Laurus,"Roman Catholic","St Laurus at Pisana",,,,,,,
4977,"San Lazzaro al Trionfale","Via Trionfale 148   00136 Roma",,,"11th century",,,,"St Lazarus","Roman Catholic Church","St Lazarus",,,,,,,
3273,"San Lazzaro alla Marmorata","Via Marmorata (in roadway by Arco di San Lazzaro)",,,"15th century",,,,Lazarus,"Roman Catholic","St Lazarus at the Marmorata",,,,,,Demolished,
3278,"San Leonardo Murialdo","Via Salvatore Pincherle 144",,,1978,,,,"Leonardo Murialdo","Roman Catholic","St Leonardo Murialdo",,,,,,,
3277,"San Leonardo da Porto Maurizio","Via Ludovico Antomelli 1",,,"Late 20th century",,,,"Leonard of Port Maurice","Roman Catholic","St Leonard of Port Maurice",,,,,,,
4776,"San Leone I","Via Prenestina 104",,,1952,,,,"Leo I, Pope","Roman Catholic","St Leo the First",,,,,,,
3576,"San Leone Magno dei Fratelli Maristi","Piazza di Santa Costanza 1",,,1954,,,,"Leo the Great","Roman Catholic","St Leo the Great of the Marist Brothers",,,,,,,
4652,"San Leone a Boccea","Via di Boccea 60",,,1930,,,,"Leo the Great","Roman Catholic","St Leo in the Street of the Bottles",,,,,,,
3282,"San Leopoldo Mandic","Via Pia Nalli 151",,,"21st century",,,,"Leopold Mandic","Roman Catholic","St Leopold Mandic",,,,,,,
3281,"San Liborio","Via Tino Buazzelli 70",,,1998,,,,"Liborius of Le Mans","Roman Catholic","St Liborius",,,,,,,
3283,"San Lino","Via Cardenale Garampi 60",,,1999,,,,"Linus, Pope","Roman Catholic","St Linus",,,,,,,
3284,"San Lorenzo ai Monti","Via dei Fori Imperiali (in roadway at junction with Via San Pietro in Carcere)",,,Mediaeval,,,,"Lawrence the Deacon","Roman Catholic","St Laurence at Monti",,,,,,"Deconsecrated and demolished",
4983,"San Lorenzo da Brindisi a Ludovisi","Via Sicilia (east end)",,,1912,,,,"Laurence of Brindisi","Roman Catholic","St Laurence of Brindisi",,,,,,Deconsecrated,
2017,"San Lorenzo fuori le Mura","3 Piazzale del Verano  00185 Roma","Virginio Vespagniani",,"4th century, restored several times",,"Franciscan Capuchins",,"St Lawrence the Deacon","Roman Catholic Church","St Lawrence outside the Walls",,,,"06 49 15 11",,,"http://www.basilicadisanlorenzo.org Official Site"
1628,"San Lorenzo in Damaso","1 Piazza della Cancelleria",,,"4th century, rebuilt 15th century",,,,Lawrence,"Roman Catholic","St Lawrence at the House of Damasus",,,No,,"Antonio Maria Rouco Varela","Titular church, titulus",
2016,"San Lorenzo in Fonte","50 Via Urbana  00184 Roma","Domenico Castelli","Andrea Camassei, Giovanni Battista Speranza",1543,,"Oblates of St Joseph",,"St Lawrence the Deacon","Roman Catholic Church","St Lawrence at the Font",,,,"06 48 82 120",,,
2032,"San Lorenzo in Lucina","16/a Via in Lucina","Cosimo Fanzago","Bernini, Carlo Saraceni","c350-500, restored several times.",,,,"St Lawrence the Deacon","Roman Catholic Church","St Lawrence's at Lucina",,,,,,,
2033,"San Lorenzo in Miranda","Via in Miranda 10 (in the Forum Romanum)00186 Roma",,,"2nd century, reconstructed 1601-1602",,Diocesan,,"St Lawrence the Deacon","Roman Catholic Church","St Lawrence's",,,,"06 67 92 123",,,
4444,"San Lorenzo in Nicolanaso","Via della Consolazione",,,"12th century?",,,,"Lawrence of Rome","Roman Catholic","Lawrence in ""Nicolanaso""",,,,,,"Deconsecrated and demolished",
3083,"San Lorenzo in Palatio ad Sancta Sanctorum","Piazza San Giovanni in Laterano",,,1589,,,,"Lawrence of Rome",Catholic,"St Laurence in the Palace, at the Holy of Holies",,Giovanni_in_Laterano_-Scala_Santa.jpg,,,,,
2034,"San Lorenzo in Panisperna","Via Panisperna 90  00184 Roma","Carlo Rainaldi","Giuseppe Ranucci, Antonio Nessi, Giovanni Francesco Romano",,,Diocesan,,"St Lawrence the Deacon","Roman Catholic Church","St Lawrence's at Panisperna",,,,"06 48 36 67","Cardinal Kitbunchu","Titular church,",
2035,"San Lorenzo in Piscibus","Via Pancrazio Pfeiffer 24   00193 Roma","Domenico Navona","Niccolò Bertoni","12th century, rebuilt in 17th century",,Piarists,,"St Lawrence the Deacon","Roman Catholic Church","St Lawrence at the Fishmarket",,Lorenzo_in_Piscibus_apse.jpg,,"06 69 88 53 32","Cardinal Cordes","Titular church",
3090,"San Luca a Via Prenestina","Via Luchino dal Verme 50",,,1957,,,,"Luke the Evangelist","Roman Catholic","St Luke on the Prenestina Way",,,,,,,
3092,"San Luigi Gonzaga","Via di Villa Emiliani 15",,,1929,,,,"Aloysius Gonzaga","Roman Catholic","St Aloysius Gonzaga",,,,,,,
3884,"San Luigi Grignion de Montfort a Primavalle","Viale dei Monfortani 50",,,1970,,,,"Louis Grignion de Montfort","Roman Catholic","San Luigi Maria Grignion de Montfort",,,,,,,
4656,"San Luigi Grignion de Montfort dei Monfortani","Via Prenestina 1391",,,"20th century",,,,"Louis Mary Grignon de Montfort","Roman Catholic","St Louis Grignon de Montfort in Prenestina Way",,,,,,,
3093,"San Luigi Maria Grignion de Montfort","Viale dei Monfortani 50",,,1970,,,,"Louis Grignion de Montfort","Roman Catholic","San Luigi Maria Grignion de Montfort",,,,,,,
2019,"San Luigi dei Francesi","5 Piazza San Luigi dei Francesi / Via Santa Giovanna d'Arco 00186 Roma","Jean de Chenevière, Domenico Fontana, Giacomo della Porta.","Francesco Bassano, Caravaggio","1518 - 1589",,,,"Louis IX of France","Roman Catholic Church","St Louis of the French",,,,06-68.82.71,"Cardinal Vingt-Trois","National church",
2038,"San Macuto","Via del Seminario",,,"Rebuilt 1579",,"Society of Jesus",,Malo,"Roman Catholic","St Malo",,Macuto.jpg,,,,,
2041,"San Marcello al Corso","5 Piazza di San Marcello / 00187 Roma","Antonio Sangallo the Younger, Carlo Fontana","Antonio Raggi, Francesco Cavallini, Rinaldo Rinaldi, Daniele da Volterra et al.","4th century, rebuilt in 8th century and from 1529 until 1590",,"Servite Friars",,"St Marcellus","Roman Catholic Church","St Marcellus at the Corso",,,,"(06) 69 93 01","Cardinal Agustín García-Gasco Vicente","Titular church",
2042,"San Marco","48 Piazza San Marco, 00186 Roma; side entrance through the Palazzo Venezia.","Leon Battista Alberti, Giuliano da Maiano, Carlo Maderno","Isaia da Pisa, Antonio Canova, Pietro da Cortona et al.","336, rebuilt several times until 1744",,,,"Mark the Evangelist","Roman Catholic Church","St Mark",,"San Marco exterior.jpg",,06-67.95.205,,"Titular church","http://www.sanmarcoevangelista.it Official site"
3094,"San Marco in Agro Laurentino","Piazza Giuliani e Dalmati 20",,,1972,,,,"Mark the Evangelist","Roman Catholic","St Mark in the field with laurels",,,,,,,
3059,"San Marone","Via Aurora 6",,,1914,,,,Maro,,"St Maro",,,,,,,
3476,"San Martino Primo Papa","Via Veio 37",,,1965,,,,"Martin I, Pope","Roman Catholic","St Martin I, Pope",,,,,,,
2091,"San Martino ai Monti","28 Viale Monte Oppio  00184 Roma","Filippo Gagliardi, Pietro da Cortona","Stefano Castelli, Paolo Nadini, Gaspar Poussin, Giovanni Greppi et al.","4th cent., rebuilt 6th and 9th cent., restored several times",,"Calced Carmelites",,"Pope St Sylvester, St Martin of Tours","Roman Catholic Church","St Martin's in the Hills","06 48 73 190",,,"06 47 83 166","Cardinal Kazimierz Nycz","Titular church, Minor basilica",
4532,"San Martino ai Pelamantelli","Via del Monte di Pietà",,,1220,,,,"Martin of Tours","Roman Catholic","St Martin of Pelamentelli",,,,,,Demolished,
3428,"San Martino della Scuola di Fanteria","School of Infantry, Via Stazione di Cesano 423, Cesano",,,"20th century",,,,"Martin of Tours","Roman Catholic","St Martin of the School of Infantry",,,,,,,
3479,"San Massimiliano Kolbe a Via Prenestina","Via Polizzi Generosa",,,2009,,,,"Maximilian Kolbe","Roman Catholic","St Maximilian Kolbe on the Via Prenestina",,,,,,,
3480,"San Massimo Vescovo a Palmarola","Via Giuseppe Boffito 9",,,"Late 20th century",,,,"Maximus of Turin","Roman Catholic","St Maximus the Bishop at Palmarola",,,,,,,
3481,"San Matteo Apostolo ed Evangelista","Via Anagnina 373",,,1953,,,,Matthew,"Roman Catholic","St Matthew, Apostle and Evangelist",,,,,,,
4071,"San Matteo in Merulana","Via Merulana, junction with Via Alfieri",,,"4th century?",,,,Matthew,"Roman Catholic","St Matthew in Merulana",,,,,,Demolished,
3482,"San Mattia Apostolo","Via Renato Fucini 285",,,1969,,,,,"Roman Catholic","St Matthias, Apostle",,,,,,,
3483,"San Maurizio Martire","Via del Poggio di Acilia 110",,,2001,,,,Maurice,"Roman Catholic","St Maurice the Martyr",,,,,,,
3484,"San Mauro Abate","Via Francesco Sapori 10",,,1990,,,,Maurus,"Roman Catholic","St Maurus the Abbot",,,,,,,
3486,"San Melchiade","Via Costantiniana 19",,,1976,,,,,"Roman Catholic","St Melchiades",,,,,,,
3487,"San Michele Arcangelo a Pietralata","Largo Geltrude Comensoli 6",,,1948,,,,"Michael the Archangel","Roman Catholic","St Michael the Archangel at Pietralata",,,,,,,
3488,"San Michele Arcangelo al Flaminio","Cimitero Flaminio, Via Flaminia 1444",,,"Mid 20th century",,,,"Michael the Archangel","Roman Catholic","St Michael the Archangel at the Flaminio",,,,,,,
4398,"San Michele Archangelo a Castel Giubileo","Salita di Castel Giubileo",,,"4th century (basilica), 13th century (chapel)",,,,"Michael the Archangel","Roman Catholic","St Michael the Archangel at Jubilee Castle",,,,,,"Deconsecrated, demolished",
3380,"San Michele Archangelo a Giardini di Corcolle","Via Monteprandone 67",,,1997,,,,"Michael the Archangel","Roman Catholic","St Michael the Archangel at the Gardens of Corcolle",,,,,,,
2094,"San Michele a Ripa","Via del Porto di Ripa Grande 8   00153 Roma","Mattia de Rossi, Carlo Fontana, Ferdinando Fuga, Luigi Poletti.","Adamo Tadolini","17th century - 19th century",,Diocesan,,"St Michael the Archangel","Roman Catholic Church","St Michael's by the River",,,,"06 68 96 626",,,
3625,"San Michele alla Tiburtina","Via del Casale Cavallari 8",,,"20th century",,,,"Michael the Archangel","Roman Catholic","St Michael at the Tiburtina",,,,,,,
3385,"San Nicola a Capo di Bove","Via Appia Antica (Tomba da Cecilia Metella)",,,1303,,,,NIcholas,"Roman Catholic","St NIcholas at the Ox's Head",,,,,,"Deconsecrated and ruined",
4482,"San Nicola a Galeria Antica","Galeria Antica, near Santa Maria di Galeria (village in municipality)",,,"Mediaeval, 18th century",,,,"Andrew the Apostle","Roman Catholic","St Andrew at Galeria",,,,,,Ruined,
3631,"San Nicola a Tor Bella Monaca","Via Scicli 5",,,"Late 20th century",,,,Nicholas,"Roman Catholic","Nicholas at the Tower of the Beautiful Nun",,,,,,,
3495,"San Nicola al Villaggio dei Pescatori","Via delle Quinqueremi",,,1932,,,,Nicholas,"Roman Catholic","St Nicholas at the Village of Fishermen",,,,,,,
1805,"San Nicola da Tolentino agli Orti Sallustiani","17 Salita S Nicola da Tolentino 00187 Roma",,,,,,,"Nicholas of Tolentino","Armenian Catholic Church","St Nicholas of Tolentino in the Gardens of Sallust",,,,"06 48 84 654",,"National church",
3496,"San Nicola degli Incoronati","Via Giulia (corner of Via San Filippo Neri)",,,1762,,,,Nicholas,"Roman Catholic","St Nicholas of the Incoronati",,,,,,Demolished,
3497,"San Nicola dei Cesarini","Largo di Torre Argentina (ruins)",,,1695,,,,Nicholas,"Roman Catholic","St Nicholas of the Cesarini",,,,,,"Deconsecrated and demolished",
3897,"San Nicola dei Lorenesi","Largo Febo 17",,,1636,,,,Nicholas,"Roman Catholic","St Nicholas of the Lorrainers",,,,,,,
3498,"San Nicola dei Prefetti","Via dei Prefetti 34",,,1730,,,,Nicholas,"Roman Catholic","St Nicholas of the Prefects",,,,,,,
3430,"San Nicola di Bari a Cesano","Via Borgo di Sopra 40, Cesano",,,"11th century",,,,Nicholas,"Roman Catholic","St Nicholas of Bari at Cesano",,,,,,,
3499,"San Nicola di Bari a Lido di Ostia","Via Gian Carlo di Passeroni 1",,,1937,,,,"Nicholas of Myra","Roman Catholic","St Nicholas of Bari at the Lido of Ostia",,,,,,,
3500,"San Nicola in Arcione","Via in Arcione (junction with Vicolo del Gallinaccio)",,,"Late 15th century",,,,Nicholas,"Roman Catholic","St Nicholas in the Arched Area",,,,,,"Deconsecrated and demolished",
2096,"San Nicola in Carcere","46 Via del Teatro di Marcello / Via del Foro Olitorio 00186 Roma","Giacomo della Porta",,"1128, rebuilt 1599",,,,"St Nicholas of Myra","Roman Catholic Church","St Nicholas in Prison",,,,"06 68 30 71 98",,,
3501,"San Norberto","Via Agostino Depretis (opposite Piazza di Viminale)",,,"16th century",,,,Norbert,"Roman Catholic","St Norbert",,,,,,Demolished,
2105,"San Pancrazio","Piazza San Pancrazio 5/D",,,"7th century",,"Discalced Carmelites",,Pancras,"Roman Catholic","St Pancras",,,,,"Antonio Cañizares Llovera",Titular,
3431,"San Pancrazio alla Isola Farnese","Via dell'Isola Farnese 252",,,"15th century?",,,,"Blessed Virgin Mary (Assumption), Pancras","Roman Catholic","St Pancras on Farnese Island",,,,,,,
2106,"San Pantaleo","Piazza San Pantaleo/Piazza dei Massimi 4 - 00186 Roma",,,"Middle ages, rebuilt 1681",,,,Pantaleon,"Roman Catholic","St Pantaleon (Panteleimon)",,,,,,,
3684,"San Paolo Primo Eremita","Via Agostino Depretis 95",,,1669,,,,"Paul the Hermit","Roman Catholic","St Paul the First Hermit",,,,,,Deconsecrated,
2107,"San Paolo alla Regola","Via di San Paolo alla Regola 6   00186 Roma",,,"17th century",,,,"St Paul the Apostle","Roman Catholic Church","St Paul at the Place of Teaching","06 68 80 54 91",,,"06 68 80 24 08","Francesco Monterisi","Titular church",
2108,"San Paolo alle Tre Fontane","Via Acque Salvie 1  00142 Roma","Giacomo della Porta",,1599,,Diocesan,,"Paul the Apostle","Roman Catholic Church","St Paul at the Three Fountains",,,,06-5401655,,,
3683,"San Paolo della Croce","Via Poggio Verde 319",,,1983,,,,"Paul of the Cross","Roman Catholic","St Paul of the Cross",,,,,,,
4059,"San Paolo di Chartres","Via della Vignaccia 193",,,1968,,,,Paul,"Roman Catholic","St Paul of Chartres",,,,,,,
1756,"San Paolo fuori le Mura","186 Via Ostiense (Metro: Basilica San Paolo)",,,"4th century, much rebuilt from 1824","Façade",,"18 November 324","Paul the Apostle","Roman Catholic Church","St Paul's Outside the Walls",,Paolofuori_facade1.JPG,No,,No,"Papal basilica",
3686,"San Patrizio a Colle Prenestino","Via Caiazzo 74",,,2007,,,,Patrick,"Roman Catholic","St Patrick on the Prenestine Hill",,,,,,,
2109,"San Patrizio a Villa Ludovisi","31 Via Boncompagni  00187 Roma","Aristide Leonori",,"Early 20th century",,,,"Patrick of Ireland","Roman Catholic","St Patrick's at the Villa Ludovisi",,,"United States of America","06 42 03 12 01",,"National church",
3687,"San Pellegrino in Vaticano","Via dei Pellegrini, Vatican City",,,1590,,,,Peregrine,"Roman Catholic","St Peregrine at the Vatican",,,,,,,
3689,"San Pier Damiani","Via Guido Biagi 16",,,"1970, rebuilt 2002",,,,"Peter Damian","Roman Catholic","St Peter Damian",,,,,,,
5081,"San Pietro Apostolo al Castello di Lunghezza","Via della Tenuta del Cavaliere 230, Lunghezza",,,"16th century",,,,Peter,"Roman Catholic","St Peter the Apostole at Length Castle",,,,,,,
3690,"San Pietro Canisio agli Orti Sallustiani","Via di San Nicola da Tolentino 13",,,1944,,,1949,"Peter Canisius","Roman Catholic","St Peter Canisius at the Sallustian Gardens",,,,,,,
5066,"San Pietro Martire al Casale della Solfarata","Via della Solfarata 51",,,1673,,,,"Peter Martyr","Roman Catholic","St Peter Martyr at Solfarata Farm",,,,,,,
3724,"San Pietro in Borgo","Piazza Sant'Uffizio",,,Mediaeval,,,,Peter,"Roman Catholic","St Peter in the Borough",,,,,,,
2110,"San Pietro in Montorio","2 Piazza San Pietro in Montorio  ¯00153 Roma","Baccio Pontelli, Meo del Caprina",,"9th century, rebuilt 1481-1500",,"Order of Friars Minor (Franciscans)",,"St Peter the Apostle","Roman Catholic Church","St Peter's on the Golden Hill",,,,"06 58 13 940","Cardinal James Francis Stafford","Titular church",
1695,"San Pietro in Vaticano","Piazza San Pietro","Michelangelo (dome)","See text","From 1506","Seen from Castel Sant'Angelo",,,"Peter the Apostle","Roman Catholic Church","St Peter's in the Vatican",,Petersdom_von_Engelsburg_gesehen.jpg,No,,No,"Patriarchal basilica",
2111,"San Pietro in Vincoli","4/a Piazza San Pietro in Vincoli  00184 Roma","Baccio Pontelli, Giovanni da Sangallo","<nowiki>Francesco Fontana, Antonio da Sangallo the Younger, Giovanni Battista Parodi et al.</nowiki>","5th cent, restored in 8th, 15th, 16th and 19th cent.",,"Canons Regular of the Lateran",,"Peter the Apostle","Roman Catholic Church","St Peter in Chains",,San_Pietro_in_Vincoli.jpg,,"06 48 82 865",,"Titular church, Minor basilica",
3693,"San Pio V","Largo San Pio V 2",,,1952,,,1962,"Pius V, Pope","Roman Catholic","St Pius V",,,,,Yes,,
3694,"San Pio X","Via Attilio Friggeri 87",,,1961,,,,"Pius X, Pope","Roman Catholic","St Pius X",,,,,,,
3692,"San Pio da Pietrelcina","Via Giorgio De Lullo 97",,,2010,,,,"Pius of Pietrelcina","Roman Catholic","St Pius of Pietrelcina",,,,,,,
3696,"San Policarpo","Piazza Aruleno Celio Sabino 50",,,1967,,,,Polycarp,"Roman Catholic","St Polycarp",,,,,,,
3697,"San Ponziano","Via Nicola Festa 50",,,1974,,,,"Pontian, Pope","Roman Catholic","St Pontian",,,,,,,
3702,"San Raffaele Arcangelo","Via di San Raffaele 28",,,1957,,,,Raphael,"Roman Catholic","St Raphael the Archangel",,,,,,,
3704,"San Raimondo Nonnato","Via del Casale Ferranti 64",,,1964,,,,"Raymund Nonnatus","Roman Catholic","St Raymund the Unborn",,,,,,,
3708,"San Remigio a Colleverde","Piazza Colleverde 9, Guidonia Montecelio",,,1987,,,,"Remigius of Rheims","Roman Catholic","St Remigius of Greenhill",,,,,,,
2119,"San Roberto Bellarmino","13 Via Panama00198 Roma","Clemente Busiri Vici",,,,Diocesan,1959,"St Robert Bellarmine","Roman Catholic Church","St Robert Bellarmine",,,,"Tel. 06 85 53 413",,,
2120,"San Rocco","1 Largo San Rocco",,,"1499, rebuilt 1657",,,,"St Roch","Roman Catholic Church","St Roch",,,,,,,
3433,"San Rocco a Malagrotta","Via Valentino Cigliutti, Malagrotta",,,"19th century?",,,,Roch,"Roman Catholic","St Roch at Malagrotta",,,,,,,
3715,"San Romano Martire a Pietralata","Largo Antonio Beltramelli 18",,,2004,,,,"Romanus Ostiarius","Roman Catholic","St Romanus the Martyr at Pietralata",,,,,,,
